name,brand,categoryId,categoryName,weight,dimensions,stockQuantity,minStockLevel,rating,reviewCount,salesCount,viewCount,isFeatured,isOnSale,isRentable,rentalPricePerDay,tags,imagesCount,competitorPrice,supplierCost,shippingCost,price
Quechua indoor 32,Quechua,5,indoor,0.26,28x17x17,142,27,3.2,27,52,676,True,False,False,0.0,"[""backpacking"", ""eco-friendly"", ""waterproof"", ""lightweight""]",4,115.68,43.55,7.19,121.12
Wakeman indoor 33,Wakeman,5,indoor,1.52,44x40x29,141,27,4.0,130,61,1220,False,False,False,0.0,"[""solo"", ""lightweight""]",3,57.55,18.37,8.04,67.72
Black Diamond sport 34,Black Diamond,4,sport,2.51,13x27x14,185,27,4.3,178,232,3016,False,False,False,0.0,"[""family"", ""waterproof""]",3,328.79,177.11,11.72,363.59
Patagonia nature 35,Patagonia,8,nature,2.9,19x35x23,120,14,4.7,20,167,2338,False,False,False,0.0,"[""4-season""]",2,302.54,123.31,12.03,328.53
Patagonia sport 36,Patagonia,4,sport,3.17,16x40x29,155,11,3.9,136,591,10638,False,False,False,0.0,"[""durable""]",4,344.03,149.24,14.3,391.96
Wakeman indoor 37,Wakeman,5,indoor,0.88,50x28x26,44,30,2.7,43,75,900,False,True,False,0.0,"[""lightweight"", ""compact"", ""ultralight"", ""family""]",4,61.21,20.45,4.34,54.13
Patagonia day 38,Patagonia,7,day,0.42,41x24x7,68,24,3.9,10,123,1107,False,True,False,0.0,"[""foldable"", ""hiking"", ""family""]",1,150.11,71.24,6.67,142.57
Stansport day 39,Stansport,7,day,1.69,21x25x21,6,25,3.3,58,364,4732,True,False,False,0.0,"[""eco-friendly""]",8,59.49,19.33,13.75,70.1
MSR indoor 40,MSR,5,indoor,0.99,12x24x7,162,15,5.0,36,1070,19260,False,False,False,0.0,"[""family"", ""compact"", ""hiking"", ""car-camping""]",5,170.98,75.27,4.75,199.66
Patagonia night 41,Patagonia,6,night,1.32,28x24x27,131,20,4.9,26,11,187,False,True,False,0.0,"[""eco-friendly"", ""waterproof"", ""ultralight"", ""family""]",2,131.13,56.94,7.23,118.69
Wakeman Tents 42,Wakeman,1,Tents,2.11,290x219x153,181,20,4.0,75,209,2508,False,False,False,0.0,"[""UV-resistant"", ""foldable"", ""family"", ""car-camping""]",8,291.02,87.8,11.79,285.37
Osprey sport 43,Osprey,4,sport,3.55,29x36x23,48,23,3.9,12,201,3417,False,False,False,0.0,"[""windproof"", ""waterproof"", ""family""]",8,253.05,90.62,14.03,247.41
Osprey camp 44,Osprey,3,camp,2.27,40x32x30,85,17,3.8,339,83,1328,False,False,False,0.0,"[""solo""]",7,291.57,89.57,12.0,300.58
Osprey camp 45,Osprey,3,camp,5.15,26x20x24,128,27,4.9,21,390,3510,False,False,True,20.8,"[""lightweight"", ""backpacking""]",7,300.25,86.94,19.19,327.98
Quechua outdoor 46,Quechua,2,outdoor,1.67,16x34x25,81,27,4.6,36,300,5100,False,False,False,0.0,"[""hiking""]",2,144.09,60.98,9.4,178.03
MSR nature 47,MSR,8,nature,1.2,49x31x12,11,20,4.2,7,541,2705,False,True,False,0.0,"[""lightweight"", ""durable""]",3,270.25,130.43,6.86,325.11
Osprey sport 48,Osprey,4,sport,2.02,26x24x14,65,11,4.1,30,61,1159,False,False,False,0.0,"[""compact"", ""hiking"", ""foldable""]",7,0.0,76.49,7.68,237.95
Patagonia nature 49,Patagonia,8,nature,0.26,48x33x20,147,14,3.1,90,5,80,False,False,False,0.0,"[""UV-resistant""]",4,0.0,146.39,2.64,291.15
Black Diamond night 50,Black Diamond,6,night,1.05,33x33x9,173,7,4.1,57,77,1001,False,False,False,0.0,"[""durable""]",5,144.13,51.32,7.54,134.67
Stansport night 51,Stansport,6,night,0.61,17x24x7,33,9,3.5,93,146,1606,False,False,False,0.0,"[""eco-friendly"", ""family"", ""foldable"", ""solo""]",4,0.0,14.41,4.23,52.59
Ozark Trail day 52,Ozark Trail,7,day,0.8,45x20x24,3,12,3.4,220,44,748,False,True,False,0.0,"[""backpacking"", ""waterproof""]",2,61.74,20.31,5.91,52.19
Stansport nature 53,Stansport,8,nature,1.05,36x30x8,29,20,3.3,206,629,11322,True,False,False,0.0,"[""durable"", ""foldable"", ""windproof"", ""4-season""]",7,111.97,33.23,9.1,125.59
The North Face indoor 54,The North Face,5,indoor,0.79,15x31x11,113,25,4.2,23,323,3553,False,False,False,0.0,"[""ultralight"", ""lightweight"", ""backpacking""]",1,149.85,88.57,9.18,187.55
Quechua Tents 55,Quechua,1,Tents,5.31,269x214x122,144,8,3.1,60,83,747,False,False,False,0.0,"[""windproof"", ""4-season"", ""UV-resistant""]",1,449.9,176.67,17.09,468.57
The North Face camp 56,The North Face,3,camp,4.58,49x11x28,150,30,3.4,7,682,8184,False,True,True,33.28,"[""backpacking""]",5,428.33,188.66,18.56,393.07
Wakeman nature 57,Wakeman,8,nature,0.5,50x28x22,122,27,4.9,33,128,768,False,False,False,0.0,"[""family"", ""durable""]",6,100.11,35.42,8.59,126.6
Teton Sports day 58,Teton Sports,7,day,1.43,35x23x28,129,8,3.8,103,682,12958,False,True,False,0.0,"[""UV-resistant"", ""ultralight"", ""hiking"", ""solo""]",6,58.29,20.9,10.62,62.67
Quechua day 59,Quechua,7,day,0.27,45x27x15,39,26,4.2,82,26,416,False,False,False,0.0,"[""durable""]",2,94.03,34.94,7.11,111.08
Quechua day 60,Quechua,7,day,0.69,17x34x13,184,23,4.7,14,686,12348,True,False,False,0.0,"[""windproof"", ""car-camping"", ""solo""]",4,120.39,35.16,4.66,137.81
Ozark Trail day 61,Ozark Trail,7,day,0.61,35x12x9,155,28,4.9,0,52,260,False,False,False,0.0,"[""durable"", ""compact""]",1,53.68,17.09,5.63,65.03
Stansport outdoor 62,Stansport,2,outdoor,1.04,38x31x18,107,20,3.8,63,353,6001,False,True,True,7.44,"[""compact""]",8,103.61,31.59,10.1,75.44
Coleman day 63,Coleman,7,day,1.39,29x40x11,88,29,3.0,99,81,648,False,False,False,0.0,"[""ultralight""]",3,111.28,39.74,6.21,111.62
Coleman indoor 64,Coleman,5,indoor,0.82,12x23x5,127,19,3.3,31,411,2055,False,True,False,0.0,"[""hiking""]",2,0.0,43.35,9.05,109.79
Teton Sports night 65,Teton Sports,6,night,0.67,25x23x23,181,17,3.6,85,252,4284,False,False,False,0.0,"[""lightweight"", ""hiking"", ""UV-resistant""]",2,52.39,16.41,8.92,53.79
Coleman day 66,Coleman,7,day,1.3,22x15x24,85,9,4.4,7,137,1644,False,True,False,0.0,"[""ultralight"", ""lightweight""]",2,124.46,40.27,9.11,89.48
Wakeman camp 67,Wakeman,3,camp,3.93,13x21x21,174,7,3.7,288,149,2831,False,False,False,0.0,"[""eco-friendly"", ""family"", ""durable""]",5,156.74,51.91,13.73,159.01
Osprey nature 68,Osprey,8,nature,2.59,46x30x11,73,15,2.6,178,299,4784,True,False,False,0.0,"[""backpacking""]",8,208.52,72.73,11.29,202.18
The North Face camp 69,The North Face,3,camp,4.39,48x11x30,182,25,3.6,68,203,3045,True,False,True,33.28,"[""hiking"", ""eco-friendly"", ""solo"", ""compact""]",6,487.25,214.77,16.85,514.48
Quechua outdoor 70,Quechua,2,outdoor,1.85,35x14x24,72,27,2.7,17,384,6528,False,False,False,0.0,"[""compact"", ""foldable"", ""UV-resistant""]",2,0.0,52.72,9.06,154.18
Ozark Trail indoor 71,Ozark Trail,5,indoor,1.5,31x40x29,32,20,3.4,225,923,13845,False,False,False,0.0,"[""family"", ""4-season"", ""ultralight""]",4,62.99,20.43,9.71,75.88
MSR sport 72,MSR,4,sport,3.03,49x35x10,25,28,2.9,197,138,1932,False,False,False,0.0,"[""4-season"", ""UV-resistant""]",8,364.31,156.03,15.81,363.15
Marmot Tents 73,Marmot,1,Tents,3.02,273x262x159,113,29,3.4,265,575,6900,False,False,False,0.0,"[""solo"", ""compact""]",5,0.0,148.86,17.07,487.26
Ozark Trail day 74,Ozark Trail,7,day,0.58,20x18x19,51,21,3.8,27,145,1450,False,True,False,0.0,"[""family""]",3,72.2,19.7,7.21,52.15
Patagonia day 75,Patagonia,7,day,0.89,31x35x9,115,9,4.9,14,244,2928,False,False,False,0.0,"[""UV-resistant"", ""lightweight"", ""foldable""]",1,156.0,73.25,6.32,196.97
Osprey indoor 76,Osprey,5,indoor,0.11,29x13x6,194,12,4.2,220,357,3213,False,False,False,0.0,"[""lightweight"", ""eco-friendly"", ""family"", ""ultralight""]",7,118.74,35.69,7.23,118.51
Patagonia nature 77,Patagonia,8,nature,1.81,15x26x16,152,7,2.8,76,1383,27660,False,False,False,0.0,"[""compact"", ""UV-resistant""]",1,310.72,141.93,5.78,356.21
Osprey day 78,Osprey,7,day,1.6,21x36x29,95,26,2.6,12,219,3723,False,True,False,0.0,"[""4-season"", ""waterproof"", ""solo""]",8,116.27,38.04,10.51,92.42
Wakeman nature 79,Wakeman,8,nature,0.3,12x34x25,16,11,3.0,95,363,3267,False,False,False,0.0,"[""windproof"", ""car-camping"", ""backpacking"", ""family""]",5,106.4,30.32,8.24,118.49
The North Face night 80,The North Face,6,night,1.35,27x35x7,69,28,4.7,35,104,1560,True,False,False,0.0,"[""foldable"", ""backpacking"", ""solo"", ""car-camping""]",7,0.0,61.8,8.76,159.87
Marmot outdoor 81,Marmot,2,outdoor,0.96,13x12x26,139,25,4.0,161,733,7330,False,True,True,12.4,"[""durable"", ""hiking"", ""family""]",7,156.01,57.94,5.82,157.19
Ozark Trail night 82,Ozark Trail,6,night,1.19,19x31x19,7,16,4.5,57,208,2080,True,False,False,0.0,"[""durable""]",6,47.23,12.39,8.62,56.91
Patagonia nature 83,Patagonia,8,nature,2.89,26x32x19,101,11,3.9,96,476,7616,False,False,False,0.0,"[""family""]",5,0.0,114.26,10.52,367.25
Black Diamond nature 84,Black Diamond,8,nature,2.99,50x15x30,115,16,2.8,176,123,861,False,False,False,0.0,"[""UV-resistant"", ""family"", ""4-season""]",4,325.11,145.61,18.19,294.59
Black Diamond outdoor 85,Black Diamond,2,outdoor,2.43,46x12x9,126,15,4.5,69,10,120,True,False,True,19.84,"[""car-camping"", ""hiking"", ""eco-friendly"", ""windproof""]",2,297.56,113.33,9.14,290.35
Osprey nature 86,Osprey,8,nature,1.99,17x26x9,32,14,4.2,50,234,3744,False,False,False,0.0,"[""windproof""]",3,0.0,63.59,11.43,219.53
Quechua camp 87,Quechua,3,camp,0.93,20x28x23,88,9,4.8,2,11,132,False,False,True,20.8,"[""car-camping""]",3,276.91,89.8,6.82,268.21
Teton Sports night 88,Teton Sports,6,night,0.91,25x35x30,20,26,2.6,138,133,665,True,False,False,0.0,"[""compact"", ""family"", ""backpacking""]",7,49.17,15.05,7.26,49.97
Osprey indoor 89,Osprey,5,indoor,0.49,45x13x15,40,12,2.7,117,72,432,False,False,False,0.0,"[""4-season"", ""eco-friendly"", ""solo"", ""car-camping""]",8,123.76,42.16,7.35,105.61
Coleman outdoor 90,Coleman,2,outdoor,1.31,41x26x19,24,20,3.6,78,26,234,True,False,False,0.0,"[""ultralight"", ""eco-friendly"", ""4-season""]",5,0.0,67.08,11.21,171.84
The North Face nature 91,The North Face,8,nature,1.83,37x14x13,129,28,2.7,62,304,5168,False,False,False,0.0,"[""family"", ""car-camping"", ""waterproof"", ""lightweight""]",6,0.0,115.16,9.36,296.48
Quechua day 92,Quechua,7,day,0.65,16x22x16,145,30,2.6,103,1117,6702,False,False,False,0.0,"[""4-season""]",6,0.0,38.54,6.86,111.76
MSR night 93,MSR,6,night,1.1,35x29x28,128,14,3.0,126,94,1598,True,True,False,0.0,"[""solo"", ""durable""]",6,0.0,62.85,5.69,110.26
Stansport nature 94,Stansport,8,nature,2.94,46x17x28,4,6,3.9,46,24,480,False,False,False,0.0,"[""family"", ""compact"", ""eco-friendly"", ""durable""]",8,95.39,34.14,15.45,115.15
Ozark Trail camp 95,Ozark Trail,3,camp,4.35,13x32x9,37,21,4.1,42,57,969,False,False,False,0.0,"[""windproof"", ""UV-resistant"", ""foldable"", ""eco-friendly""]",4,143.73,42.46,14.87,170.35
Wakeman night 96,Wakeman,6,night,0.85,25x18x22,80,14,3.7,13,86,1462,False,False,False,0.0,"[""durable"", ""backpacking"", ""ultralight""]",4,54.3,14.6,9.63,57.01
Coleman indoor 97,Coleman,5,indoor,1.88,28x11x14,81,27,4.3,86,98,1960,False,False,False,0.0,"[""windproof"", ""solo"", ""eco-friendly"", ""4-season""]",2,125.08,43.57,9.34,124.7
Osprey night 98,Osprey,6,night,1.41,13x13x18,54,15,4.1,247,401,8020,False,False,False,0.0,"[""compact"", ""ultralight""]",8,74.79,32.19,8.2,97.62
Wakeman outdoor 99,Wakeman,2,outdoor,2.65,46x17x22,140,28,4.4,43,85,425,False,True,False,0.0,"[""UV-resistant""]",1,88.34,27.7,13.96,91.11
Marmot camp 100,Marmot,3,camp,5.65,31x19x19,9,25,4.7,35,425,4250,False,False,False,0.0,"[""UV-resistant""]",8,272.68,112.5,26.2,312.92
Ozark Trail camp 101,Ozark Trail,3,camp,4.45,15x22x26,28,8,3.7,51,30,330,False,False,False,0.0,"[""windproof"", ""hiking"", ""car-camping"", ""solo""]",3,143.15,39.98,13.45,165.11
Osprey camp 102,Osprey,3,camp,5.75,17x24x14,1,10,3.3,54,192,2304,False,False,False,0.0,"[""compact""]",7,284.04,92.93,19.01,275.22
Stansport indoor 103,Stansport,5,indoor,0.35,23x34x12,94,26,2.8,40,287,4018,False,False,False,0.0,"[""eco-friendly"", ""car-camping"", ""UV-resistant"", ""compact""]",2,67.22,17.34,6.68,62.95
Ozark Trail nature 104,Ozark Trail,8,nature,2.73,47x25x7,144,21,4.3,80,13,91,True,False,False,0.0,"[""lightweight"", ""compact"", ""ultralight"", ""foldable""]",8,0.0,30.32,10.01,138.3
Osprey Tents 105,Osprey,1,Tents,3.5,207x167x160,116,6,2.8,55,582,10476,False,False,False,0.0,"[""solo"", ""foldable"", ""lightweight"", ""car-camping""]",5,372.11,138.33,9.05,406.97
MSR day 106,MSR,7,day,1.75,35x26x9,95,28,4.4,85,53,954,False,False,False,0.0,"[""lightweight"", ""4-season"", ""car-camping""]",4,174.51,84.83,10.04,186.35
The North Face Tents 107,The North Face,1,Tents,2.99,284x257x178,172,29,4.9,2,264,5016,False,False,True,54.4,"[""waterproof""]",1,0.0,302.39,8.54,799.97
Black Diamond sport 108,Black Diamond,4,sport,0.48,42x19x12,114,28,2.7,225,257,1542,False,False,False,0.0,"[""4-season""]",6,396.39,165.97,4.51,395.04
Black Diamond night 109,Black Diamond,6,night,0.49,34x35x21,169,15,3.3,49,236,2124,False,False,False,0.0,"[""waterproof"", ""solo"", ""compact"", ""eco-friendly""]",7,139.21,58.58,7.73,129.31
MSR day 110,MSR,7,day,0.53,25x18x11,193,15,3.2,227,146,1460,False,False,False,0.0,"[""car-camping"", ""UV-resistant"", ""4-season"", ""hiking""]",2,167.07,83.71,5.73,175.52
Quechua nature 111,Quechua,8,nature,1.89,10x16x11,13,28,2.7,5,115,1265,False,False,False,0.0,"[""ultralight"", ""windproof"", ""solo"", ""family""]",2,193.44,78.18,10.12,181.5
Black Diamond nature 112,Black Diamond,8,nature,2.37,40x34x15,101,11,4.2,149,7,77,False,False,False,0.0,"[""backpacking"", ""lightweight"", ""eco-friendly"", ""foldable""]",6,304.73,128.43,10.24,309.43
Marmot night 113,Marmot,6,night,1.41,31x18x29,189,20,2.6,10,357,4284,True,False,False,0.0,"[""backpacking"", ""car-camping""]",8,78.64,31.12,6.21,88.17
MSR nature 114,MSR,8,nature,0.72,13x34x5,43,18,4.3,79,629,10064,True,False,False,0.0,"[""windproof""]",3,338.53,148.76,10.25,387.08
Patagonia sport 115,Patagonia,4,sport,2.59,27x27x14,55,5,4.3,26,58,290,False,False,False,0.0,"[""waterproof"", ""UV-resistant"", ""car-camping"", ""foldable""]",7,293.2,162.54,11.98,368.12
Patagonia camp 116,Patagonia,3,camp,1.97,15x30x25,61,29,4.8,111,493,4437,False,False,False,0.0,"[""family"", ""compact""]",1,497.78,181.41,8.86,514.78
Marmot outdoor 117,Marmot,2,outdoor,2.55,23x38x27,14,23,3.4,37,449,8980,False,False,True,12.4,"[""ultralight""]",8,0.0,61.46,13.38,175.35
The North Face indoor 118,The North Face,5,indoor,1.86,46x36x17,139,26,4.8,33,801,10413,False,True,False,0.0,"[""UV-resistant"", ""lightweight"", ""family"", ""4-season""]",6,189.11,73.09,11.89,178.75
Stansport day 119,Stansport,7,day,0.29,38x25x12,128,16,2.8,111,421,2947,False,False,False,0.0,"[""waterproof"", ""compact"", ""family""]",7,66.68,17.38,6.11,70.74
MSR day 120,MSR,7,day,0.57,10x40x14,21,19,4.2,8,698,11866,False,False,False,0.0,"[""solo"", ""UV-resistant"", ""lightweight"", ""eco-friendly""]",6,151.87,65.93,5.44,205.01
Patagonia indoor 121,Patagonia,5,indoor,0.88,15x33x22,110,12,2.8,30,677,6770,False,False,False,0.0,"[""waterproof"", ""family"", ""hiking"", ""eco-friendly""]",3,165.73,66.4,4.5,184.43
MSR day 122,MSR,7,day,0.93,29x10x17,68,15,2.8,39,3,42,False,True,False,0.0,"[""durable"", ""UV-resistant"", ""ultralight"", ""backpacking""]",7,157.3,73.81,4.76,126.87
Osprey night 123,Osprey,6,night,0.38,34x18x30,76,17,3.3,240,255,2295,False,False,False,0.0,"[""durable"", ""eco-friendly"", ""ultralight"", ""solo""]",6,87.46,28.71,9.12,85.94
Teton Sports outdoor 124,Teton Sports,2,outdoor,2.83,26x31x9,174,27,3.0,79,178,1780,False,True,False,0.0,"[""compact"", ""backpacking"", ""4-season"", ""UV-resistant""]",7,106.65,25.47,15.75,75.1
Patagonia day 125,Patagonia,7,day,1.85,25x31x26,149,16,3.6,89,418,8360,False,False,False,0.0,"[""lightweight""]",3,195.46,79.95,11.53,180.52
Teton Sports Tents 126,Teton Sports,1,Tents,2.14,286x278x119,192,16,5.0,125,467,7939,False,False,True,20.4,"[""hiking"", ""backpacking"", ""eco-friendly""]",1,236.48,70.12,11.75,297.16
Patagonia nature 127,Patagonia,8,nature,1.18,17x10x15,29,25,3.2,4,239,1673,False,False,False,0.0,"[""solo"", ""lightweight"", ""family"", ""waterproof""]",2,261.71,126.93,8.75,285.67
Stansport camp 128,Stansport,3,camp,1.78,37x22x5,141,27,3.1,46,655,6550,False,False,False,0.0,"[""backpacking"", ""durable""]",4,134.19,45.47,9.17,157.95
Coleman sport 129,Coleman,4,sport,0.99,35x28x8,147,16,4.4,12,430,3010,True,False,False,0.0,"[""durable"", ""hiking"", ""UV-resistant""]",6,0.0,77.43,5.97,268.24
Teton Sports nature 130,Teton Sports,8,nature,1.08,37x15x20,157,25,2.9,77,31,434,False,False,False,0.0,"[""durable"", ""hiking""]",3,109.44,30.69,6.11,111.74
Osprey camp 131,Osprey,3,camp,5.74,38x25x10,80,7,3.2,6,517,5170,False,False,False,0.0,"[""compact"", ""backpacking"", ""hiking"", ""foldable""]",1,280.43,98.34,15.15,280.86
Coleman sport 132,Coleman,4,sport,2.39,12x34x28,137,19,2.6,97,25,300,False,False,False,0.0,"[""car-camping"", ""windproof"", ""eco-friendly""]",4,202.91,88.38,11.02,192.28
Patagonia day 133,Patagonia,7,day,0.6,32x37x27,76,24,4.3,134,882,10584,False,True,False,0.0,"[""eco-friendly"", ""foldable""]",7,190.54,83.81,8.2,163.55
Teton Sports camp 134,Teton Sports,3,camp,3.78,36x39x6,52,13,2.8,341,419,4609,False,False,False,0.0,"[""4-season""]",3,184.6,42.14,16.83,165.66
Black Diamond camp 135,Black Diamond,3,camp,3.68,42x33x13,63,27,2.9,120,245,3675,False,False,False,0.0,"[""hiking""]",6,481.75,174.21,13.28,442.77
Osprey nature 136,Osprey,8,nature,2.92,28x20x22,198,23,3.3,44,710,3550,False,True,False,0.0,"[""windproof"", ""ultralight"", ""backpacking"", ""family""]",3,183.0,73.14,15.55,164.59
Quechua nature 137,Quechua,8,nature,1.49,29x15x13,11,7,4.7,0,189,1134,True,False,False,0.0,"[""foldable"", ""4-season""]",6,219.28,62.38,9.44,214.76
Patagonia indoor 138,Patagonia,5,indoor,1.43,43x31x19,13,5,3.4,4,37,370,False,False,False,0.0,"[""durable"", ""ultralight""]",1,174.9,71.23,10.24,180.51
Patagonia night 139,Patagonia,6,night,0.64,18x30x26,177,9,5.0,109,262,4716,True,True,False,0.0,"[""hiking"", ""eco-friendly""]",2,0.0,61.59,4.97,137.16
Teton Sports Tents 140,Teton Sports,1,Tents,4.18,231x220x182,89,7,4.1,261,140,2660,False,False,True,20.4,"[""solo"", ""hiking"", ""UV-resistant"", ""4-season""]",4,283.91,80.78,15.98,294.65
Stansport indoor 141,Stansport,5,indoor,1.52,50x29x7,52,21,2.6,20,990,13860,False,False,False,0.0,"[""hiking"", ""lightweight"", ""ultralight"", ""backpacking""]",1,0.0,18.16,9.83,73.3
Quechua night 142,Quechua,6,night,0.76,28x30x27,93,21,2.8,0,1050,18900,False,True,False,0.0,"[""eco-friendly""]",7,74.04,34.84,6.78,72.78
Stansport day 143,Stansport,7,day,1.85,25x11x12,71,7,3.5,6,242,2178,True,True,False,0.0,"[""family""]",7,70.38,21.59,7.31,61.24
Osprey outdoor 144,Osprey,2,outdoor,0.14,27x33x8,79,29,4.0,278,222,1332,False,False,True,12.4,"[""4-season"", ""solo"", ""UV-resistant""]",1,159.81,52.49,5.19,182.68
Marmot night 145,Marmot,6,night,0.21,17x17x28,67,21,3.2,48,296,2072,False,False,False,0.0,"[""eco-friendly"", ""lightweight"", ""durable""]",1,78.3,29.99,5.46,87.77
